Ticker,Publish Date,Earning Date,epsestimate,epsactual,epssurprisepct
EBAY,2019-04-24,2019-04-23,0.63,0.67,7.03
EBAY,2019-07-18,2019-07-17,0.63,0.68,8.8
EBAY,2019-10-24,2019-10-23,0.64,0.67,4.2
EBAY,2020-04-29,2020-04-29,0.72,0.77,7.09
EBAY,2020-04-30,2020-04-29,0.72,0.77,7.09
EBAY,2020-07-29,2020-07-28,1.06,1.08,2.18
EBAY,2020-10-29,2020-10-28,0.77,0.85,9.82
EBAY,2021-02-04,2021-02-03,0.83,0.86,3.49
EBAY,2021-04-29,2021-04-28,1.07,1.09,1.96
ECL,2017-02-24,2017-02-21,1.27,1.25,-1.81
ECL,2017-05-04,2017-05-02,0.81,0.8,-0.87
ECL,2017-08-03,2017-08-01,1.13,1.13,0.44
ECL,2017-11-02,2017-10-31,1.36,1.37,1.03
ECL,2018-02-23,2018-02-20,1.39,1.39,-0.22
ECL,2018-05-03,2018-05-01,0.89,0.91,2.02
ECL,2018-08-02,2018-07-31,1.27,1.27,0.08
ECL,2018-11-01,2018-10-30,1.54,1.53,-0.46
ECL,2019-03-01,2019-02-19,1.54,1.54,0.33
ECL,2019-05-02,2019-04-30,1.02,1.03,0.98
ECL,2019-08-01,2019-07-30,1.41,1.42,0.57
ECL,2019-10-31,2019-10-29,1.71,1.71,-0.06
ECL,2020-05-07,2020-04-28,1.06,1.13,6.2
ECL,2020-08-06,2020-07-28,0.85,0.65,-23.17
ECL,2020-10-30,2020-10-27,1.12,1.15,2.68
ECL,2021-02-26,2021-02-16,1.25,1.23,-1.44
ECL,2021-05-06,2021-04-27,0.81,0.81,-0.37
ED,2016-08-04,2016-08-04,0.69,0.59,-14.86
ED,2016-11-03,2016-11-03,1.47,1.51,2.44
ED,2017-02-16,2017-02-16,0.66,0.68,3.5
ED,2017-05-04,2017-05-04,1.19,1.27,6.99
ED,2017-08-03,2017-08-03,0.62,0.58,-6.0
ED,2017-11-02,2017-11-02,1.51,1.47,-2.91
ED,2018-02-15,2018-02-15,0.77,0.8,3.36
ED,2018-05-03,2018-05-03,1.29,1.38,6.65
ED,2018-08-02,2018-08-02,0.56,0.61,9.91
ED,2018-11-01,2018-11-01,1.46,1.57,7.53
ED,2019-02-21,2019-02-21,0.75,0.77,2.67
ED,2019-05-02,2019-05-02,1.36,1.39,2.06
ED,2019-08-01,2019-08-01,0.59,0.58,-2.36
ED,2019-11-04,2019-11-04,1.58,1.54,-2.41
ED,2020-02-20,2020-02-20,0.8,0.87,8.48
ED,2020-05-07,2020-05-07,1.4,1.35,-3.85
ED,2020-08-06,2020-08-06,0.54,0.6,11.32
ED,2020-11-05,2020-11-05,1.51,1.48,-1.66
ED,2021-02-18,2021-02-18,0.76,0.75,-0.79
ED,2021-05-06,2021-05-06,1.36,1.44,5.8
EFX,2016-07-28,2016-07-27,1.36,1.43,5.3
EFX,2016-10-27,2016-10-26,1.36,1.44,6.12
EFX,2017-02-22,2017-02-08,1.37,1.42,3.42
EFX,2017-04-27,2017-04-26,1.41,1.44,2.42
EFX,2017-07-27,2017-07-26,1.57,1.6,1.85
EFX,2017-11-09,2017-11-09,1.49,1.53,2.62
EFX,2018-03-01,2018-03-01,1.35,1.39,2.73
EFX,2018-04-26,2018-03-01,1.35,1.39,2.73
EFX,2018-04-26,2018-04-25,1.37,1.43,4.61
EFX,2018-07-26,2018-07-25,1.54,1.56,1.04
EFX,2018-10-25,2018-10-24,1.42,1.41,-0.84
EFX,2019-02-21,2019-02-20,1.32,1.38,4.47
EFX,2019-05-10,2019-05-10,1.23,1.2,-2.04
EFX,2019-07-25,2019-07-24,1.36,1.4,3.09
EFX,2019-10-24,2019-10-23,1.44,1.48,2.49
EFX,2020-02-20,2020-02-12,1.49,1.53,2.55
EFX,2020-04-21,2020-04-20,1.28,1.4,9.03
EFX,2020-07-23,2020-07-22,1.3,1.6,23.27
EFX,2020-10-22,2020-10-21,1.6,1.87,16.95
EFX,2021-02-25,2021-02-10,1.83,2.0,9.47
EFX,2021-04-22,2021-04-21,1.55,1.97,27.18
EIX,2016-07-28,2016-07-28,0.97,0.85,-12.64
EIX,2016-11-01,2016-11-01,1.27,1.34,5.35
EIX,2017-02-21,2017-02-21,0.95,1.02,7.14
EIX,2017-05-01,2017-05-01,0.9,1.1,22.63
EIX,2017-07-27,2017-07-27,0.92,0.85,-7.1
EIX,2017-10-30,2017-10-30,1.33,1.43,7.2
EIX,2018-02-22,2018-02-22,0.92,1.1,20.09
EIX,2018-05-01,2018-05-01,0.91,0.8,-11.8
EIX,2018-07-26,2018-07-26,0.83,0.84,0.96
EIX,2018-10-30,2018-10-30,1.29,1.56,20.65
EIX,2019-02-28,2019-02-28,0.96,0.94,-1.57
EIX,2019-04-30,2019-04-30,0.87,0.63,-27.42
EIX,2019-07-25,2019-07-25,1.13,1.58,39.58
EIX,2019-10-29,2019-10-29,1.58,1.5,-4.94
EIX,2020-02-27,2020-02-27,1.0,0.99,-0.8
EIX,2020-04-30,2020-04-30,0.79,0.63,-20.25
EIX,2020-07-30,2020-07-28,1.11,1.0,-10.23
EIX,2020-10-27,2020-10-27,1.47,1.67,13.53
EIX,2021-02-25,2021-02-25,1.2,1.19,-0.5
EIX,2021-04-27,2021-04-27,0.72,0.79,10.34
EL,2016-08-24,2016-08-19,0.4,0.43,8.04
EL,2016-11-02,2016-11-02,0.8,0.84,4.74
EL,2017-02-02,2017-02-02,1.17,1.22,4.18
EL,2017-05-03,2017-05-03,0.73,0.91,25.0
EL,2017-08-25,2017-08-18,0.43,0.51,18.33
EL,2017-11-01,2017-11-01,0.97,1.21,24.87
EL,2018-02-02,2018-02-02,1.44,1.52,5.48
EL,2018-05-02,2018-05-02,1.07,1.17,9.76
EL,2018-08-24,2018-08-20,0.56,0.61,8.73
EL,2018-10-31,2018-10-31,1.22,1.41,15.2
EL,2019-02-05,2019-02-05,1.55,1.74,12.55
EL,2019-05-01,2019-05-01,1.3,1.55,19.51
EL,2019-08-23,2019-08-19,0.53,0.64,20.3
EL,2019-10-31,2019-10-31,1.6,1.67,4.57
EL,2020-02-06,2020-02-06,1.9,2.11,10.94
EL,2020-05-01,2020-05-01,0.73,0.85,17.08
EL,2020-08-28,2020-08-20,-0.19,-0.53,-174.61
EL,2020-11-02,2020-11-02,0.9,1.44,59.82
EL,2021-02-05,2021-02-05,1.69,2.61,54.62
EL,2021-05-03,2021-05-03,1.32,1.62,22.45
EMN,2016-08-03,2016-07-28,1.73,1.68,-2.72
EMN,2016-11-04,2016-10-27,1.67,1.86,11.11
EMN,2017-02-27,2017-01-26,1.49,1.51,1.48
EMN,2017-05-05,2017-04-27,1.75,1.83,4.51
EMN,2017-08-04,2017-07-27,1.91,1.98,3.77
EMN,2017-11-02,2017-10-26,2.03,2.19,7.83
EMN,2018-03-01,2018-02-01,1.06,1.62,53.41
EMN,2018-05-07,2018-04-26,2.09,2.23,6.7
EMN,2018-08-03,2018-07-26,2.21,2.22,0.59
EMN,2018-10-29,2018-10-25,2.29,2.34,2.14
EMN,2019-02-27,2019-01-31,1.61,1.39,-13.4
EMN,2019-05-03,2019-04-25,1.87,1.77,-5.2
EMN,2019-08-06,2019-07-25,2.09,1.99,-4.65
EMN,2019-11-01,2019-10-24,1.98,1.94,-2.12
EMN,2020-02-26,2020-01-30,1.33,1.42,6.77
EMN,2020-05-11,2020-04-30,1.71,2.03,18.44
EMN,2020-08-05,2020-08-03,1.05,0.85,-19.05
EMN,2020-11-03,2020-10-29,1.37,1.57,14.77
EMN,2021-02-22,2021-01-28,1.5,1.69,12.44
EMN,2021-05-03,2021-04-29,2.04,2.13,4.46
EMR,2016-08-03,2016-08-02,0.84,0.8,-5.1
EMR,2016-11-16,2016-11-01,0.9,0.96,7.26
EMR,2017-02-08,2017-02-07,0.42,0.56,32.08
EMR,2017-05-04,2017-05-02,0.58,0.58,0.17
EMR,2017-08-02,2017-08-01,0.69,0.68,-1.88
EMR,2017-11-20,2017-11-07,0.79,0.83,4.53
EMR,2018-02-07,2018-02-06,0.55,0.61,11.31
EMR,2018-05-02,2018-05-01,0.72,0.76,5.85
EMR,2018-08-08,2018-08-07,0.86,1.12,30.23
EMR,2018-11-19,2018-11-06,0.89,0.89,-0.45
EMR,2019-02-06,2019-02-05,0.66,0.74,12.12
EMR,2019-05-09,2019-05-07,0.84,0.84,-0.12
EMR,2019-08-07,2019-08-06,0.94,0.97,3.08
EMR,2019-11-18,2019-11-05,1.08,1.16,7.51
EMR,2020-02-05,2020-02-04,0.67,0.67,-0.15
EMR,2020-04-24,2020-04-21,0.74,0.89,20.6
EMR,2020-08-05,2020-08-04,0.6,0.8,34.0
EMR,2020-11-16,2020-11-03,0.95,1.1,16.4
EMR,2021-02-03,2021-02-02,0.68,0.83,21.88
EMR,2021-05-05,2021-05-05,0.9,0.97,8.14
ENPH,2016-08-03,2016-08-02,-0.27,-0.3,-9.49
ENPH,2016-11-02,2016-11-01,-0.24,-0.28,-15.7
ENPH,2017-03-16,2017-02-28,-0.12,-0.15,-21.95
ENPH,2017-05-10,2017-05-09,-0.14,-0.18,-32.35
ENPH,2017-08-09,2017-08-08,-0.07,-0.08,-6.67
ENPH,2017-11-08,2017-11-07,-0.05,-0.01,78.72
ENPH,2018-05-10,2018-05-01,-0.03,-0.01,69.7
ENPH,2018-08-06,2018-07-31,0.01,0.02,233.33
ENPH,2018-11-06,2018-11-06,0.04,0.04,11.11
ENPH,2019-03-15,2019-02-26,0.06,0.04,-31.03
ENPH,2019-04-30,2019-04-30,0.05,0.08,56.86
ENPH,2019-07-30,2019-07-30,0.13,0.18,40.62
ENPH,2019-10-29,2019-10-29,0.25,0.3,19.05
ENPH,2020-02-21,2020-02-18,0.33,0.39,17.82
ENPH,2020-05-05,2020-05-05,0.32,0.38,20.25
ENPH,2020-08-04,2020-08-04,0.14,0.17,17.24
ENPH,2020-10-27,2020-10-27,0.24,0.3,24.48
ENPH,2021-02-16,2021-02-09,0.41,0.51,25.93
ENPH,2021-04-27,2021-04-27,0.45,0.56,25.28
EOG,2016-08-04,2016-08-04,-0.48,-0.38,21.0
EOG,2016-11-03,2016-11-03,-0.31,-0.4,-29.03
EOG,2017-02-27,2017-02-27,-0.14,-0.01,92.81
EOG,2017-05-08,2017-05-08,0.15,0.15,0.67
EOG,2017-08-01,2017-08-01,0.11,0.08,-24.53
